id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Grade
3439,GP,F,14,U,GT3,T,4,1,other,other,course,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,4,3,3,1,2,4,2,18,1,8
3440,GP,F,15,R,GT3,A,4,3,other,other,course,mother,3,2,1,no,no,no,yes,no,yes,yes,yes,5,3,2,3,1,2,0,20,7,9
3441,GP,F,14,U,GT3,A,3,2,teacher,at_home,reputation,other,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,1,0,1,2,1,0,11,17,9
3442,GP,M,15,U,LE3,T,2,1,other,services,home,mother,1,2,0,no,no,no,yes,yes,no,yes,no,4,3,1,0,1,4,0,15,13,8
3443,GP,F,15,R,GT3,T,4,1,teacher,other,home,other,1,2,0,no,yes,no,no,yes,yes,no,no,4,0,1,2,5,3,1,12,16,10
3444,GP,F,14,U,LE3,T,1,1,at_home,other,other,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,4,3,2,2,1,4,0,19,6,6
3445,GP,F,15,U,GT3,T,4,3,other,at_home,home,father,1,1,1,no,no,no,no,yes,yes,yes,yes,5,4,2,1,2,4,5,16,9,8
3446,GP,F,14,U,LE3,T,4,2,other,health,home,other,1,2,0,no,no,no,no,yes,yes,yes,no,4,2,2,1,1,4,4,17,14,9
3447,MS,M,16,R,GT3,T,3,0,services,other,course,mother,2,0,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,4,2,17,15,9
3448,MS,F,16,U,GT3,T,4,0,other,other,home,other,1,1,0,no,no,no,yes,yes,no,yes,no,4,2,1,2,2,2,0,20,15,8
3449,GP,F,14,U,GT3,T,2,1,services,health,course,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,2,4,1,1,1,2,5,15,16,9
3450,GP,F,18,U,GT3,A,3,0,services,other,home,other,1,1,0,no,yes,no,no,yes,no,yes,no,5,2,4,1,2,1,0,17,15,8
3451,GP,F,17,U,GT3,A,3,1,services,other,course,mother,3,4,0,no,no,no,no,yes,yes,yes,yes,3,1,2,2,1,4,1,16,11,14
3452,GP,F,14,U,GT3,T,3,1,other,teacher,home,mother,3,3,0,yes,no,no,no,no,yes,yes,no,5,1,3,1,1,4,0,15,10,11
3453,MS,F,15,U,GT3,T,2,0,at_home,other,course,other,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,5,1,2,1,1,0,2,9,6,9
3454,MS,F,15,U,LE3,T,1,3,other,other,reputation,other,2,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,2,1,0,4,0,20,12,9
3455,MS,F,17,U,LE3,T,3,0,teacher,other,course,mother,4,3,0,no,no,no,no,yes,yes,yes,yes,4,3,2,1,2,2,0,9,10,11
3456,MS,M,16,U,GT3,T,3,3,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,4,3,3,2,1,3,1,16,16,9
3457,GP,F,17,U,GT3,T,4,1,other,health,home,father,2,1,0,no,no,no,yes,no,yes,yes,no,3,0,3,1,4,1,0,11,6,9
3458,GP,M,16,U,GT3,T,4,1,other,other,home,mother,2,2,0,no,no,no,no,yes,yes,no,no,4,1,4,1,1,1,4,17,10,9
3459,GP,F,18,U,GT3,T,2,1,other,other,course,father,3,2,0,no,yes,no,no,yes,yes,yes,no,5,3,0,1,4,4,1,11,15,9
3460,MS,F,16,R,LE3,T,0,1,at_home,services,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,4,2,3,2,1,4,2,15,9,10
3461,GP,F,16,U,GT3,A,3,1,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,3,0,15,20,9
3462,MS,M,17,U,GT3,T,3,1,other,teacher,reputation,father,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,2,5,2,3,4,0,8,13,9
3463,GP,M,14,U,LE3,T,3,3,health,other,course,mother,3,0,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,5,1,0,1,14,14,9
3464,GP,M,15,U,GT3,T,2,4,services,other,course,mother,2,2,0,yes,yes,no,no,yes,yes,yes,yes,5,2,1,4,3,4,0,12,7,9
3465,MS,M,15,R,LE3,T,3,2,health,teacher,home,mother,1,1,0,no,yes,no,yes,no,yes,no,yes,5,4,4,1,3,2,2,19,11,9
3466,GP,M,14,U,LE3,T,2,0,at_home,services,reputation,father,2,1,0,yes,yes,no,yes,yes,yes,yes,no,4,4,2,1,1,1,0,12,7,9
3467,GP,M,17,U,GT3,A,2,2,at_home,other,home,mother,3,0,0,no,yes,no,yes,yes,yes,no,no,4,2,0,1,2,4,0,10,12,9
3468,MS,M,15,U,GT3,T,4,1,other,services,course,mother,1,0,0,no,yes,no,no,yes,yes,yes,no,4,4,1,1,5,3,12,12,11,8
3469,MS,M,18,U,LE3,T,2,3,at_home,other,home,mother,3,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,4,0,15,4,9
3470,MS,F,14,U,GT3,T,2,1,services,teacher,course,mother,2,2,0,no,yes,no,no,yes,no,yes,no,4,3,1,2,0,1,1,9,13,8
3471,GP,M,17,U,GT3,T,2,1,services,other,course,mother,3,0,0,no,yes,no,yes,yes,yes,no,no,5,3,3,3,1,1,0,17,8,9
3472,GP,M,17,U,GT3,T,1,1,services,teacher,other,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,0,0,19,8,6
3473,GP,F,16,R,GT3,T,1,1,at_home,at_home,course,mother,1,0,0,no,yes,yes,yes,yes,yes,no,yes,4,3,3,1,1,3,0,15,20,8
3474,GP,M,16,U,GT3,T,1,3,other,teacher,home,mother,3,1,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,3,1,4,0,16,13,9
3475,GP,F,16,U,GT3,T,3,3,other,other,home,other,1,1,0,no,yes,no,no,yes,yes,yes,no,2,2,2,1,1,2,0,15,14,9
3476,MS,F,17,U,LE3,T,2,1,other,at_home,home,mother,1,1,0,no,yes,no,yes,no,yes,yes,yes,5,4,2,1,2,0,0,9,14,9
3477,GP,M,14,U,GT3,T,1,0,services,services,home,mother,2,3,0,yes,yes,yes,no,yes,yes,yes,no,5,0,2,1,2,3,2,13,10,10
3478,GP,F,15,U,GT3,A,2,2,teacher,other,home,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,4,3,3,0,1,2,2,13,1,9
3479,MS,F,15,U,LE3,T,2,1,at_home,health,reputation,mother,1,2,0,yes,yes,no,yes,no,yes,no,yes,3,3,2,2,1,1,0,10,13,9
3480,GP,M,17,U,GT3,T,4,2,services,at_home,home,mother,1,4,0,no,no,yes,no,no,yes,yes,no,4,3,1,1,2,0,0,11,9,14
3481,GP,F,14,U,GT3,T,3,0,other,other,other,other,1,2,0,no,yes,no,no,yes,yes,no,yes,4,4,5,1,2,3,4,18,14,9
3482,GP,F,18,R,GT3,A,3,2,other,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,1,2,1,1,4,6,13,13,9
3483,MS,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,2,0,0,1,2,0,12,9,9
3484,GP,F,16,R,GT3,T,2,3,services,other,reputation,mother,1,0,0,no,yes,no,yes,yes,yes,yes,yes,4,2,4,2,2,4,0,14,11,9
3485,MS,M,14,U,GT3,A,3,1,services,other,course,mother,1,1,0,no,yes,no,no,yes,yes,no,yes,5,5,1,3,0,3,0,11,16,9
3486,GP,F,14,R,GT3,T,4,2,other,at_home,other,father,4,3,0,no,yes,no,yes,no,no,yes,no,4,3,3,5,0,1,1,7,14,10
3487,MS,F,17,U,LE3,T,4,1,other,teacher,course,father,1,0,0,no,yes,no,yes,yes,yes,yes,yes,5,3,1,2,3,4,0,18,5,9
3488,MS,M,14,U,LE3,T,2,1,other,other,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,3,0,2,4,1,14,18,9
3489,GP,F,16,U,GT3,T,2,2,health,services,other,mother,3,0,0,no,yes,no,yes,yes,yes,no,no,4,3,4,1,0,4,1,13,14,9
3490,GP,F,17,U,GT3,T,4,1,health,other,other,mother,2,3,0,no,no,yes,yes,yes,yes,no,no,3,3,2,1,2,4,3,11,16,11
3491,GP,M,14,U,LE3,T,3,1,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,0,3,5,12,11,9
3492,GP,F,14,U,LE3,T,4,2,teacher,other,other,father,1,2,0,no,yes,no,no,yes,no,yes,yes,4,4,1,4,1,1,0,13,13,9
3493,GP,M,14,R,GT3,T,3,2,health,services,course,mother,2,1,0,yes,no,no,no,yes,no,yes,yes,4,5,1,1,2,5,1,13,13,8
3494,GP,F,16,U,LE3,T,3,2,services,at_home,home,father,2,1,0,no,no,no,yes,yes,yes,no,no,5,1,1,2,2,4,5,10,14,9
3495,GP,M,16,U,LE3,T,1,1,at_home,other,reputation,mother,1,0,0,no,no,no,yes,yes,yes,yes,yes,5,2,2,1,4,4,0,10,7,8
3496,GP,M,14,U,GT3,T,3,1,teacher,teacher,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,3,2,2,0,7,11,9
3497,MS,F,16,U,GT3,T,1,3,at_home,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,no,5,3,1,1,1,4,0,19,12,8
3498,GP,M,17,U,GT3,T,4,0,services,other,course,mother,0,2,0,no,no,no,yes,yes,yes,no,no,4,2,1,2,1,2,0,11,8,10
3499,MS,F,16,U,LE3,T,2,1,other,services,course,mother,3,2,0,no,yes,no,no,yes,no,no,yes,2,3,2,6,2,2,2,13,13,8
3500,MS,M,14,U,GT3,T,0,3,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,5,3,1,1,3,4,2,17,14,9
3501,GP,F,16,U,LE3,T,3,1,services,services,home,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,4,2,1,1,1,0,1,15,8,9
3502,GP,F,14,U,GT3,T,2,0,services,other,course,father,1,0,1,no,yes,no,no,yes,yes,yes,yes,3,2,2,2,1,4,1,15,16,8
3503,MS,F,14,R,LE3,T,4,2,other,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,3,2,4,2,3,1,0,16,19,10
3504,GP,M,16,U,GT3,T,1,1,services,other,reputation,mother,2,1,0,yes,yes,no,yes,yes,yes,yes,yes,4,1,2,1,2,4,1,12,10,8
3505,GP,M,17,U,GT3,A,2,0,teacher,other,home,mother,2,0,1,no,yes,no,no,yes,yes,yes,yes,2,3,1,3,3,0,0,8,12,8
3506,GP,M,17,U,LE3,T,4,1,at_home,teacher,course,mother,3,4,0,no,no,no,yes,no,yes,yes,no,3,4,4,1,4,0,1,9,6,14
3507,GP,M,14,U,GT3,T,3,3,other,health,home,mother,1,0,0,yes,yes,no,yes,yes,no,yes,no,3,4,1,1,1,4,4,17,12,8
3508,GP,F,15,R,GT3,T,3,0,health,teacher,reputation,mother,1,0,0,no,yes,no,no,yes,yes,yes,no,2,2,2,2,1,4,0,14,12,9
3509,MS,F,14,U,GT3,T,2,1,other,health,reputation,other,1,2,2,no,yes,yes,yes,yes,yes,yes,no,3,3,1,1,4,4,12,15,12,6
3510,GP,M,17,U,GT3,T,2,3,services,other,reputation,mother,5,0,0,no,yes,no,no,yes,yes,no,no,4,4,3,4,2,4,0,18,18,9
3511,GP,F,16,U,LE3,T,3,2,at_home,other,course,mother,1,1,1,yes,yes,no,yes,yes,yes,yes,no,5,5,1,1,4,2,0,15,21,8
3512,GP,F,16,R,GT3,T,2,1,at_home,services,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,no,5,4,1,1,3,3,0,17,9,9
3513,GP,M,14,U,GT3,T,2,3,teacher,teacher,course,father,2,2,0,no,no,yes,yes,yes,no,yes,no,4,0,4,6,4,3,1,16,10,8
3514,GP,F,17,U,GT3,T,2,2,at_home,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,3,2,2,2,4,2,9,11,11
3515,GP,F,14,U,GT3,T,2,1,at_home,other,course,mother,1,3,0,no,yes,no,no,no,yes,yes,yes,4,3,2,1,2,2,0,8,14,11
3516,GP,M,16,U,GT3,T,1,1,services,teacher,other,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,4,3,0,1,4,1,5,8,17,8
3517,GP,F,16,R,GT3,T,3,2,other,teacher,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,3,2,2,0,11,13,9
3518,GP,F,19,U,GT3,T,3,1,at_home,services,home,father,2,2,3,no,yes,no,no,yes,yes,no,yes,5,3,4,1,0,4,0,16,11,6
3519,GP,F,15,U,GT3,A,3,0,other,other,home,mother,1,2,0,yes,yes,yes,yes,yes,no,yes,yes,4,2,2,2,2,2,2,12,19,9
3520,GP,F,14,U,GT3,T,3,1,teacher,health,other,mother,3,0,0,no,yes,yes,yes,no,no,yes,yes,4,3,2,1,1,4,3,12,14,8
3521,MS,F,14,R,GT3,A,1,3,other,services,reputation,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,3,3,1,2,0,4,18,13,8
3522,MS,M,16,U,LE3,T,3,1,other,services,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,4,3,1,1,4,0,16,12,9
3523,MS,F,14,U,LE3,T,1,1,other,other,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,1,0,6,10,9
3524,GP,F,15,U,GT3,T,4,4,other,teacher,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,5,2,5,1,2,2,18,13,10
3525,MS,M,15,R,GT3,T,2,2,other,at_home,course,mother,3,2,0,no,no,yes,yes,no,yes,yes,no,4,4,2,1,0,4,0,13,4,9
3526,GP,F,16,U,GT3,T,2,3,services,services,course,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,3,2,2,0,7,15,14
3527,MS,F,16,U,LE3,A,1,1,health,other,home,father,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,3,0,14,15,8
3528,GP,F,18,R,GT3,T,1,3,health,other,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,5,2,1,3,4,1,15,11,8
3529,GP,F,17,U,GT3,A,4,1,other,at_home,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,2,0,2,0,5,4,14,16,9
3530,GP,F,15,R,LE3,T,4,2,other,teacher,home,mother,1,2,0,yes,yes,no,no,yes,no,no,no,4,2,3,1,2,3,1,15,17,9
3531,GP,M,16,R,GT3,T,2,1,at_home,at_home,course,father,2,2,0,no,yes,no,no,yes,yes,no,no,5,2,2,6,4,2,0,15,13,9
3532,MS,M,15,R,LE3,T,2,1,services,other,other,mother,1,1,0,no,yes,yes,yes,yes,no,no,yes,5,5,2,1,1,2,2,5,15,8
3533,GP,F,14,U,GT3,T,3,1,services,teacher,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,4,3,2,1,0,3,0,11,18,11
3534,GP,M,14,R,LE3,T,1,1,other,services,home,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,4,0,1,3,1,1,0,13,15,9
3535,GP,F,16,R,LE3,T,1,1,at_home,teacher,home,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,no,4,4,1,6,2,0,0,19,11,8
3536,GP,F,16,U,GT3,T,2,1,health,teacher,home,mother,1,0,0,no,no,no,no,yes,yes,yes,yes,5,3,3,2,2,3,0,12,13,9
3537,GP,M,16,R,LE3,T,1,2,services,other,home,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,3,1,2,5,5,4,1,12,14,9
3538,GP,M,15,U,GT3,T,0,1,other,teacher,other,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,3,3,4,1,2,4,1,17,5,10
3539,GP,M,16,U,GT3,A,3,3,other,at_home,reputation,father,2,1,0,no,yes,no,no,no,yes,no,no,2,4,2,1,3,2,0,12,11,9
3540,MS,F,17,U,GT3,T,2,1,other,other,other,other,1,3,0,no,no,no,yes,yes,no,yes,yes,5,4,2,2,2,3,3,16,10,10
3541,GP,F,16,R,LE3,T,1,3,at_home,other,course,other,0,2,2,no,yes,no,no,no,yes,yes,yes,5,3,2,1,0,0,0,19,13,7
3542,MS,M,16,U,GT3,T,1,1,health,at_home,home,mother,5,2,0,no,yes,yes,yes,yes,no,yes,no,4,3,4,3,3,2,1,8,12,8
3543,MS,F,16,U,GT3,T,3,3,at_home,other,course,mother,3,0,0,no,yes,no,yes,yes,yes,yes,no,5,4,1,2,5,3,0,18,13,9
3544,MS,F,16,U,GT3,T,3,1,other,other,course,mother,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,2,5,7,12,13,9
3545,GP,F,14,U,GT3,A,4,1,services,at_home,course,mother,2,2,0,no,no,no,no,no,yes,yes,no,4,3,1,5,3,4,0,7,12,10
3546,GP,F,14,U,GT3,T,3,1,other,other,reputation,father,3,1,0,yes,yes,no,yes,yes,yes,no,no,4,4,2,1,1,4,0,17,15,9
3547,GP,F,17,U,GT3,T,0,2,other,other,reputation,mother,3,2,0,no,no,no,no,yes,yes,no,yes,4,3,1,0,2,4,6,17,14,9
3548,GP,F,16,U,LE3,T,4,3,at_home,other,home,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,5,3,0,5,2,1,5,20,11,9
3549,MS,F,16,U,GT3,A,4,2,at_home,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,3,1,1,2,4,0,10,19,10
3550,GP,F,16,U,GT3,A,4,0,other,services,home,father,1,2,1,yes,yes,yes,no,yes,no,no,no,4,3,4,1,1,4,3,18,13,8
3551,MS,F,16,U,GT3,T,4,1,teacher,health,course,other,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,5,1,4,3,13,13,9
3552,GP,F,15,U,GT3,T,2,1,teacher,other,home,mother,3,3,0,no,yes,yes,yes,yes,no,yes,yes,3,3,0,2,1,1,4,15,14,10
3553,GP,F,16,U,GT3,T,3,4,health,services,course,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,2,4,2,1,4,1,14,18,9
3554,GP,M,14,U,GT3,T,3,0,at_home,health,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,1,3,1,4,0,18,11,9
3555,GP,F,19,U,LE3,A,2,2,health,other,course,mother,1,1,1,no,yes,no,yes,yes,yes,no,no,5,3,1,1,1,3,0,14,15,8
3556,GP,M,16,U,GT3,T,2,2,teacher,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,no,no,3,3,1,1,2,2,0,15,13,9
3557,MS,F,17,U,GT3,A,3,1,services,services,reputation,father,2,2,0,no,yes,no,no,no,yes,yes,yes,4,4,0,2,5,0,4,13,14,9
3558,GP,M,14,U,GT3,T,3,4,other,other,course,mother,1,1,0,no,no,no,no,yes,no,yes,no,4,3,4,1,1,4,0,18,13,8
3559,GP,F,16,R,GT3,T,3,0,other,other,course,mother,1,3,0,no,yes,no,no,no,yes,yes,no,3,4,1,5,1,4,0,10,14,11
3560,GP,M,16,U,GT3,T,3,2,other,at_home,home,father,1,1,0,no,yes,yes,no,yes,yes,yes,yes,5,2,0,1,1,3,3,12,13,9
3561,MS,M,16,U,LE3,A,1,3,other,other,reputation,father,2,1,0,no,yes,no,no,yes,no,yes,no,2,2,2,0,1,4,0,13,12,8
3562,GP,M,14,U,LE3,T,2,0,teacher,services,other,father,1,1,0,no,yes,no,yes,yes,no,yes,yes,4,5,1,1,2,4,3,15,13,8
3563,GP,F,16,U,LE3,T,4,4,health,other,course,mother,3,2,0,no,no,yes,no,yes,no,no,no,3,2,4,1,1,4,1,5,11,9
3564,MS,M,15,U,GT3,A,2,0,services,teacher,home,father,3,2,0,no,yes,yes,no,yes,yes,no,yes,4,4,4,2,3,0,1,15,12,9
3565,MS,M,14,U,LE3,T,1,3,other,teacher,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,2,1,1,3,4,9,13,14,9
3566,GP,M,14,U,GT3,A,2,0,at_home,at_home,course,other,1,0,0,no,yes,no,yes,no,yes,yes,no,5,3,4,1,1,4,1,19,17,9
3567,MS,M,16,U,LE3,T,3,2,other,health,home,father,1,0,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,2,1,4,0,1,14,12,9
3568,GP,M,16,U,GT3,T,3,1,other,at_home,course,father,2,1,0,yes,yes,no,yes,yes,yes,yes,yes,4,4,1,1,0,4,2,15,10,9
3569,GP,M,14,R,LE3,T,3,1,services,services,other,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,5,3,2,2,1,0,0,20,16,9
3570,GP,F,17,U,LE3,T,4,3,services,other,reputation,mother,1,0,0,no,yes,no,no,no,yes,yes,no,4,2,2,1,3,4,2,15,12,9
3571,GP,F,16,U,GT3,T,1,1,other,services,course,father,2,1,0,no,yes,no,no,yes,yes,no,no,3,3,2,2,3,2,4,14,11,8
3572,GP,M,16,U,GT3,T,2,1,at_home,at_home,course,mother,1,1,0,no,no,yes,no,yes,yes,yes,yes,2,4,2,3,1,4,5,14,11,8
3573,GP,F,16,U,LE3,T,4,1,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,no,yes,no,4,3,2,1,2,0,2,13,14,9
3574,MS,M,14,U,GT3,T,3,1,other,at_home,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,4,0,4,0,11,15,9
3575,GP,M,16,U,LE3,T,2,1,health,other,reputation,other,3,2,0,no,yes,no,yes,yes,yes,no,no,5,2,1,1,1,4,0,5,11,9
3576,MS,M,16,R,GT3,T,1,2,other,services,course,other,2,1,0,no,yes,no,no,yes,yes,no,yes,3,0,2,1,1,2,0,15,10,9
3577,GP,F,16,U,LE3,T,3,1,services,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,2,2,3,1,1,1,0,10,15,9
3578,MS,F,16,U,LE3,T,2,3,other,health,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,3,5,0,5,4,0,15,11,9
3579,GP,M,14,U,LE3,T,3,0,other,other,course,other,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,5,1,3,4,3,14,17,9
3580,GP,F,16,U,GT3,A,4,3,teacher,teacher,reputation,mother,1,1,0,no,yes,no,yes,no,yes,yes,yes,5,4,3,6,2,4,4,14,12,9
3581,MS,M,14,U,LE3,T,3,2,other,teacher,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,1,1,2,3,9,18,8,8
3582,GP,F,16,R,GT3,T,3,0,health,at_home,course,mother,1,3,0,no,yes,no,yes,no,no,yes,no,5,3,2,2,5,0,8,14,15,10
3583,GP,M,15,U,GT3,T,2,1,at_home,other,home,father,5,1,0,yes,yes,no,yes,yes,yes,yes,no,3,0,1,1,1,4,0,17,10,9
3584,GP,M,17,R,GT3,T,4,1,at_home,other,home,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,4,2,1,1,1,4,0,11,10,9
3585,MS,F,16,R,GT3,T,4,3,other,at_home,reputation,mother,1,2,0,no,yes,yes,yes,no,yes,yes,yes,3,2,2,1,0,4,1,13,18,10
3586,MS,M,16,U,GT3,T,2,2,at_home,other,other,mother,0,1,0,no,yes,no,no,yes,no,yes,yes,3,4,3,1,3,4,2,11,7,8
3587,MS,F,17,U,GT3,T,4,3,services,health,home,mother,1,0,0,no,yes,no,no,yes,yes,yes,no,4,4,4,5,1,4,0,13,11,9
3588,MS,M,17,R,GT3,A,2,3,at_home,other,course,father,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,2,1,0,2,0,16,11,9
3589,GP,F,15,U,LE3,A,3,3,other,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,2,2,3,0,14,13,9
3590,MS,F,16,R,GT3,T,3,1,at_home,at_home,home,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,3,4,2,1,1,0,20,14,9
3591,GP,F,16,R,GT3,T,2,1,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,yes,no,5,2,2,2,3,4,1,9,14,9
3592,GP,F,16,R,GT3,T,3,0,teacher,teacher,course,mother,1,3,0,no,yes,yes,no,yes,no,yes,no,3,2,4,1,2,0,0,17,10,10
3593,MS,M,16,U,GT3,T,1,1,at_home,other,home,father,1,0,1,no,yes,no,no,yes,yes,yes,no,4,4,5,0,2,1,1,18,15,7
3594,MS,F,16,U,LE3,T,2,2,services,at_home,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,0,2,4,3,11,7,9
3595,GP,M,16,U,LE3,T,2,1,other,other,reputation,mother,1,3,0,no,yes,no,no,no,no,yes,no,3,4,1,2,4,4,6,17,10,10
3596,GP,M,17,U,GT3,T,1,1,at_home,at_home,other,mother,1,0,0,yes,yes,yes,no,yes,no,yes,no,4,2,1,1,4,3,0,16,12,8
3597,MS,F,17,U,GT3,T,2,2,at_home,services,home,mother,1,1,0,no,yes,no,no,yes,yes,no,no,3,0,2,1,2,1,2,11,12,9
3598,GP,F,16,R,GT3,A,3,0,at_home,services,course,mother,2,1,0,no,yes,yes,yes,yes,yes,yes,no,4,1,0,1,0,4,1,12,14,9
3599,GP,F,15,U,LE3,A,1,3,services,other,home,mother,3,1,0,no,no,no,no,yes,yes,yes,no,5,1,0,0,1,3,0,12,11,9
3600,GP,M,16,R,LE3,T,2,3,health,health,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,3,3,1,3,5,4,0,15,13,11
3601,GP,F,17,U,GT3,A,4,2,at_home,at_home,course,father,1,0,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,4,3,0,12,0,9
3602,GP,F,16,U,GT3,T,4,0,health,at_home,course,mother,1,2,0,yes,no,no,yes,yes,no,yes,no,4,3,2,1,1,2,17,8,12,8
3603,GP,F,14,U,GT3,T,2,1,services,teacher,home,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,5,0,1,2,1,4,0,15,13,9
3604,GP,M,15,U,LE3,T,2,4,health,other,home,other,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,1,1,3,1,1,15,11,9
3605,GP,F,16,U,GT3,T,2,0,at_home,other,course,father,1,0,0,no,yes,no,yes,yes,yes,yes,yes,3,3,2,3,5,0,0,14,15,9
3606,GP,F,16,U,GT3,T,4,0,services,other,other,mother,1,1,1,no,yes,yes,yes,yes,yes,yes,yes,5,4,2,2,3,0,0,15,14,8
3607,MS,F,16,U,GT3,T,2,1,services,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,0,6,2,4,0,14,17,9
3608,MS,F,17,U,LE3,T,3,1,at_home,other,course,other,3,1,1,no,yes,no,no,yes,yes,yes,no,5,3,2,6,0,4,1,11,16,8
3609,MS,F,16,U,GT3,T,2,3,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,1,5,3,2,0,13,9,9
3610,MS,M,16,U,GT3,T,2,3,at_home,other,other,mother,2,4,0,no,yes,yes,no,no,yes,yes,yes,5,3,2,2,4,3,0,12,18,14
3611,GP,M,14,R,GT3,T,2,2,health,other,reputation,father,2,1,0,no,yes,no,yes,yes,no,yes,no,4,3,0,1,1,0,0,8,19,8
3612,GP,M,15,R,GT3,T,3,1,other,at_home,home,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,2,2,2,0,3,1,0,8,18,9
3613,GP,M,16,U,GT3,A,1,0,other,other,course,father,1,1,0,no,yes,no,yes,yes,yes,no,no,4,4,0,0,1,5,0,11,8,8
3614,MS,F,16,U,GT3,T,2,0,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,4,0,3,1,1,4,0,15,18,9
